Id_solicitud,mes_solictud,Default_60dias_12meses,tipo_casa,edad,fec_ing_empleo,antg_max_tc,meses_pasivo_12,ingreso,mto_lin_cred_sistemafinanciero,mto_deuda_prom_sistemafinanciero,Departamento,max_clas_riesg,nivel_educ
1,200901,1,FAMILIAR,35,34151,0,5,4100,3004.72,0,Santa Cruz,0,EDUCACION BASICA
2,200901,1,PROPIA,38,38657,56,12,4646,65644.37,8184.54,La Paz,0,PROFESIONAL
3,200901,1,FAMILIAR,24,38972,0,12,899.79,0,2453,Santa Cruz,0,TECNICO
4,200901,1,FAMILIAR,26,37865,0,12,1000,0,4270.94,Santa Cruz,0,TECNICO
5,200901,1,FAMILIAR,30,38108,8,12,1350,3100,2039.04,Santa Cruz,1,TECNICO
6,200901,1,FAMILIAR,27,38412,10,12,2600,11809.23,11461.82,Cochabamba,2,PROFESIONAL
7,200901,1,PROPIA,34,38657,0,12,1400,3276.6,4153.11,Santa Cruz,0,PROFESIONAL
8,200901,0,FAMILIAR,30,39203,8,12,4000,3995,3664.5,Santa Cruz,1,PROFESIONAL
9,200901,1,FAMILIAR,26,39227,1,12,1191.94,700,3451.06,La Paz,1,SUPERIOR
10,200901,1,FAMILIAR,38,37377,54,12,904.32,1650,1955.38,La Paz,1,TECNICO
11,200901,1,FAMILIAR,46,34455,0,12,6550,14000,0,La Paz,1,TECNICO
12,200901,1,FAMILIAR,42,38078,14,12,2150,1868.01,725.75,Santa Cruz,1,TECNICO
13,200901,1,FAMILIAR,44,36342,31,12,4240,8811.9,1056.27,La Paz,1,PROFESIONAL
14,200901,0,PROPIA,32,38980,0,12,482.96,1915.74,0,Santa Cruz,1,PROFESIONAL
15,200901,0,FAMILIAR,31,38869,15,1,5500,7773.53,0,La Paz,1,PROFESIONAL
16,200901,0,PROPIA,35,37926,48,12,8200,35214,6980.36,La Paz,0,PROFESIONAL
17,200901,1,PROPIA,39,36526,42,12,2500,1000,2342.51,La Paz,1,SUPERIOR
18,200901,0,PROPIA,35,35096,51,12,3033,1710.68,3007.11,Santa Cruz,0,PROFESIONAL
19,200901,0,FAMILIAR,24,38718,16,12,2800,4600,6195.27,Santa Cruz,0,SUPERIOR
20,200901,1,ALQUILADA,37,37987,25,12,14000,0,12140.75,La Paz,0,PROFESIONAL
21,200901,1,FAMILIAR,41,38322,0,1,5000,34405.92,0,La Paz,1,PROFESIONAL
22,200901,1,PROPIA,31,39254,11,12,2549.32,1500,8.06,Santa Cruz,0,PROFESIONAL
23,200901,1,PROPIA,49,27973,0,12,4100,1297.41,0,Potosi,0,PROFESIONAL
24,200901,1,FAMILIAR,28,36800,0,9,5200,14241.82,16181.46,La Paz,1,EDUCACION BASICA
25,200901,1,PROPIA,40,35796,0,12,2500,0,9760.7,La Paz,0,TECNICO
26,200901,1,PROPIA,29,37987,50,12,2100,34875,55402.85,Sucre,0,PROFESIONAL
27,200901,1,FAMILIAR,37,39169,0,12,806.09,0,1162.6,La Paz,0,TECNICO
28,200901,1,FAMILIAR,29,36951,0,12,759.27,1099.47,2714.91,Santa Cruz,0,TECNICO
29,200901,0,PROPIA,59,37377,9,12,2300,600,5195.7,La Paz,0,TECNICO
30,200901,0,FAMILIAR,42,34516,36,12,2244.27,0,3138.47,La Paz,0,TECNICO
31,200901,1,FAMILIAR,41,37622,27,12,2300,23372.51,940.78,La Paz,2,PROFESIONAL
32,200901,1,FAMILIAR,55,39345,29,11,3110.24,8895.67,117,Santa Cruz,1,SUPERIOR
33,200901,0,FAMILIAR,39,35462,101,12,6800,32967.4,126.93,Santa Cruz,0,PROFESIONAL
